timestamp,open,high,low,close,volume
2019-03-20,52.75,53.5,49.5,49.8,2350838
2019-03-21,49.99,50.0,48.2,48.98,1764671
2019-03-22,48.8,49.95,48.16,48.6,844690
2019-03-25,48.6,49.4,48.0,49.15,440892
2019-03-26,49.0,49.75,48.18,48.85,504734
2019-03-27,49.0,50.78,49.0,50.1,1788588
2019-03-28,50.9,51.0,49.915,50.85,585438
2019-03-29,49.52,52.48,49.18,51.63,1769027
2019-04-01,52.3,54.39,51.25,53.5,19663442
2019-04-02,55.12,57.39,54.3,56.25,17414153
2019-04-03,57.08,57.2,55.51,56.88,15066169
2019-04-04,57.2,60.52,57.1,59.71,13311868
2019-04-05,58.39,58.98,56.27,57.24,17000788
2019-04-08,56.5,58.39,56.27,57.15,10764569
2019-04-09,56.8,57.2,56.08,56.27,9179922
2019-04-10,55.99,56.41,55.1,55.71,9081860
2019-04-11,55.7,56.21,54.83,54.89,7346094
2019-04-12,55.93,58.33,55.93,58.3,9281662
2019-04-15,58.57,58.85,57.29,57.78,5727269
2019-04-16,58.71,58.99,57.84,58.5,6681567
2019-04-17,58.95,59.05,58.2,58.32,6420663
2019-04-18,58.36,58.61,57.55,57.77,5178855
2019-04-22,57.48,58.41,57.26,57.89,4401749
2019-04-23,57.29,57.84,57.0,57.64,5687232
2019-04-24,57.49,57.89,55.865,55.98,5431323
2019-04-25,55.76,55.98,54.82,55.33,6260460
2019-04-26,55.3,55.6,54.95,55.25,4009795
2019-04-29,55.05,55.685,54.8,55.5,5935245
2019-04-30,55.76,57.205,55.6,56.73,6454064
2019-05-01,56.82,57.48,55.88,56.13,7644453
2019-05-02,55.54,56.49,52.03,52.7,13932682
2019-05-03,53.2,53.35,51.72,53.3,7401851
2019-05-06,52.15,54.03,51.7,53.46,6089501
2019-05-07,52.86,53.325,52.65,52.95,7330785
2019-05-08,53.33,53.395,52.31,52.48,5390685
2019-05-09,52.26,53.14,51.55,52.93,4579758
2019-05-10,52.94,53.714,52.49,53.07,4758371
2019-05-13,52.28,52.55,50.76,50.95,4213102
2019-05-14,51.33,53.0,50.84,52.48,4204519
2019-05-15,51.98,53.325,51.67,52.95,2928861
2019-05-16,53.29,53.55,52.73,52.98,3689745
2019-05-17,52.34,52.52,50.66,50.8,4440775
2019-05-20,50.4,50.54,49.92,50.08,5168422
2019-05-21,50.28,51.19,50.02,50.63,4968460
2019-05-22,50.46,50.61,49.965,50.21,3019120
2019-05-23,49.5,49.86,48.21,48.71,4919173
2019-05-24,49.39,49.575,48.44,49.2,2918936
2019-05-28,49.37,49.43,48.1,48.56,6613184
2019-05-29,48.2,49.43,48.01,48.71,3525856
2019-05-30,48.12,48.59,48.02,48.47,3777607
2019-05-31,47.96,48.0,46.75,46.76,3396850
2019-06-03,46.85,47.96,46.85,47.96,5905198
2019-06-04,48.68,49.93,48.64,49.93,7043092
2019-06-05,50.49,50.57,49.05,50.34,6413509
2019-06-06,50.28,51.31,50.15,51.06,6228075
2019-06-07,51.13,51.69,50.87,51.3,5391099
2019-06-10,51.72,52.1,51.58,51.62,5434387
2019-06-11,52.0,52.17,51.56,52.04,5144357
2019-06-12,52.06,52.64,51.68,52.49,3103878
2019-06-13,52.68,52.95,52.04,52.88,4179766
2019-06-14,52.63,52.69,51.0,51.15,3919484
2019-06-17,50.06,50.33,49.05,49.35,5787336
2019-06-18,49.75,50.57,49.4,49.61,5014237
2019-06-19,49.95,50.24,48.33,48.5,5404141
2019-06-20,49.095,49.59,48.62,48.93,4228328
2019-06-21,48.82,49.27,48.31,48.36,9478466
2019-06-24,48.51,49.7,48.32,49.58,4602352
2019-06-25,49.49,50.223,49.05,49.69,4005218
2019-06-26,49.85,51.22,49.81,50.45,5244396
2019-06-27,50.61,51.14,50.531,50.91,4097246
2019-06-28,51.04,51.2,49.08,49.31,6507386
2019-07-01,50.0,50.2,49.52,50.16,4659633
2019-07-02,50.0,50.06,48.76,49.4,4726195
2019-07-03,49.46,49.65,49.2,49.33,2479359
2019-07-05,49.01,49.37,48.96,49.31,2529919
2019-07-08,49.34,49.5,48.385,48.52,5936049
2019-07-09,48.3,48.43,47.5,47.87,4967429
2019-07-10,48.34,48.42,47.52,47.55,3507432
2019-07-11,47.73,48.06,47.18,47.78,4202113
2019-07-12,48.46,50.04,48.08,49.71,4328444
2019-07-15,49.77,50.95,49.66,50.93,4923844
2019-07-16,50.95,52.645,50.95,52.32,6011246
2019-07-17,52.16,52.3,51.23,51.6,4417567
2019-07-18,51.55,52.05,51.28,51.75,3662569
2019-07-19,51.77,51.83,51.5,51.52,3221517
2019-07-22,51.504,51.57,50.6,50.88,2815169
2019-07-23,51.0,52.9,50.95,52.62,4387686
2019-07-24,52.5,52.99,52.04,52.79,3516493
2019-07-25,51.64,51.99,50.3,50.77,4254577
2019-07-26,50.27,50.3,48.92,49.11,5066020
2019-07-29,48.52,48.88,47.98,48.05,4219839
2019-07-30,47.78,48.44,47.78,48.4,4194314
2019-07-31,48.49,49.43,47.95,48.44,5188502
2019-08-01,48.15,48.6,46.78,46.85,5803209
2019-08-02,46.69,47.5,45.37,45.6,5346434
2019-08-05,45.06,45.13,44.07,44.77,5147308
2019-08-06,45.11,45.45,43.735,44.43,4702804
2019-08-07,44.1,45.0,43.91,44.89,4490080
2019-08-08,45.197,46.82,45.19,46.79,4573351
2019-08-09,46.42,46.99,46.1,46.64,4472721
2019-08-12,46.39,46.8,45.52,45.69,5320263
2019-08-13,45.78,47.76,45.58,46.85,5415836
2019-08-14,45.8,46.15,44.0,44.08,6178272
2019-08-15,44.34,44.37,42.96,43.38,3494579
2019-08-16,43.29,44.81,42.77,44.51,4586010
2019-08-19,45.36,45.863,45.15,45.6,3615483
2019-08-20,45.25,45.25,43.07,43.16,5973272
2019-08-21,43.85,44.24,43.24,43.28,4398365
2019-08-22,43.32,43.9,42.02,42.05,6074608
2019-08-23,42.0,42.02,40.44,40.71,6718214
2019-08-26,41.27,41.35,40.61,40.82,3404507
2019-08-27,41.19,41.73,40.919,41.17,4153371
2019-08-28,41.15,42.64,40.76,42.52,4631788
2019-08-29,42.33,43.0,42.21,42.37,3296607
2019-08-30,42.83,43.0,42.27,42.63,4105361
2019-09-03,42.14,42.23,41.15,41.8,3360300
2019-09-04,42.59,42.79,41.85,42.54,2654555
2019-09-05,43.15,43.97,43.09,43.36,4044431
2019-09-06,43.54,43.66,42.66,43.24,3217871
2019-09-09,43.53,44.627,43.26,44.45,3639259
2019-09-10,45.1,46.37,44.78,46.32,4702818
2019-09-11,46.52,47.05,45.58,46.88,4444423
2019-09-12,47.07,47.19,45.57,46.97,3649669
2019-09-13,47.64,48.44,47.25,48.2,4027252
2019-09-16,48.69,49.98,48.28,49.01,5040105
2019-09-17,48.67,49.09,47.61,48.0,4921408
2019-09-18,47.9,47.9,47.02,47.51,2592233
2019-09-19,48.12,48.41,47.49,47.64,2536357
2019-09-20,47.47,48.85,47.07,48.21,10589641
2019-09-23,47.39,48.215,47.12,47.91,3606911
2019-09-24,47.78,48.0,45.95,46.6,4523839
2019-09-25,46.55,47.97,46.13,47.68,4415701
2019-09-26,47.51,47.69,46.934,47.23,2998577
2019-09-27,47.4,47.88,47.01,47.07,3725668
2019-09-30,47.26,47.79,47.11,47.65,2568066
2019-10-01,47.94,48.57,45.9,45.97,3844516
2019-10-02,44.67,45.17,44.36,44.93,4836105
2019-10-03,44.85,45.39,44.37,45.31,3464799
2019-10-04,45.18,45.78,45.01,45.34,3589401
2019-10-07,45.08,45.77,44.765,45.17,2984406
2019-10-08,44.75,45.05,43.83,43.85,2999723
2019-10-09,44.39,44.54,44.0,44.01,2847753
2019-10-10,44.33,45.29,44.02,44.92,4367724
2019-10-11,45.75,47.72,45.503,47.13,3699287
2019-10-14,46.72,47.27,46.24,46.82,3250767
